dataset,method,test_acc_mean,test_mcc_mean,depth_mean,n_leaves_mean,fit_time_mean
Banknote,CCP,0.98,0.97,7.0,21.4,0.204
Banknote,ES,0.99,0.97,7.1,26.5,0.005
Banknote,ES_Interp,0.98,0.97,7.1,26.5,0.005
Banknote,IGES,0.98,0.95,,,0.398
Banknote,MD,0.99,0.97,7.1,26.5,0.002
Banknote,TS,0.99,0.97,6.9,20.5,0.194
Haberman,CCP,0.69,0.18,2.4,3.7,0.204
Haberman,ES,0.71,0.23,3.3,9.0,0.002
Haberman,ES_Interp,0.7,0.19,2.6,9.0,0.002
Haberman,IGES,0.7,0.09,,,0.012
Haberman,MD,0.62,0.1,16.7,92.4,0.001
Haberman,TS,0.7,0.23,3.3,6.5,0.045
Ozone,CCP,0.93,0.11,3.0,5.6,15.347
Ozone,ES,0.93,0.22,3.9,13.7,0.073
Ozone,ES_Interp,0.93,0.19,3.2,13.7,0.073
Ozone,IGES,0.9,0.25,,,1.012
Ozone,MD,0.91,0.25,14.6,96.7,0.077
Ozone,TS,0.93,0.11,2.9,6.4,2.738
Pima Indians,CCP,0.75,0.45,4.5,8.8,1.071
Pima Indians,ES,0.75,0.42,2.7,6.9,0.005
Pima Indians,ES_Interp,0.75,0.42,2.0,6.9,0.005
Pima Indians,IGES,0.71,0.32,,,0.066
Pima Indians,MD,0.72,0.39,14.5,121.4,0.003
Pima Indians,TS,0.75,0.44,2.8,6.2,0.118
SA Heart,CCP,0.67,0.25,2.8,4.7,0.524
SA Heart,ES,0.64,0.23,1.0,2.0,0.002
SA Heart,ES_Interp,0.64,0.0,-inf,2.0,0.002
SA Heart,IGES,0.64,0.0,,,0.003
SA Heart,MD,0.63,0.19,13.3,85.5,0.003
SA Heart,TS,0.64,0.14,1.7,2.7,0.014
Spam,CCP,0.92,0.83,16.7,77.1,34.608
Spam,ES,0.89,0.78,3.9,13.7,0.088
Spam,ES_Interp,0.88,0.76,3.1,13.7,0.088
Spam,IGES,0.88,0.75,,,0.925
Spam,MD,0.91,0.82,33.5,265.2,0.061
Spam,TS,0.9,0.79,4.9,20.4,1.712
Wisc. Breast Cancer,CCP,0.96,0.92,5.0,10.6,0.116
Wisc. Breast Cancer,ES,0.96,0.91,3.9,13.3,0.003
Wisc. Breast Cancer,ES_Interp,0.96,0.91,3.2,13.3,0.003
Wisc. Breast Cancer,IGES,0.96,0.91,,,0.022
Wisc. Breast Cancer,MD,0.96,0.9,8.1,29.5,0.001
Wisc. Breast Cancer,TS,0.96,0.91,4.1,8.2,0.078
