dataset,n_samples,mtry_spec,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,2000,1,sklearn_optimal,0.61,0.21,9.0,101.9,0.077
Add. H.I. Jump,2000,1,sklearn_unlimited,0.61,0.22,21.0,246.2,0.092
Add. H.I. Jump,2000,d,sklearn_optimal,0.81,0.63,4.0,15.1,1.063
Add. H.I. Jump,2000,d,sklearn_unlimited,0.8,0.61,16.4,71.0,2.449
Add. H.I. Jump,2000,sqrt,sklearn_optimal,0.75,0.49,6.0,38.2,0.198
Add. H.I. Jump,2000,sqrt,sklearn_unlimited,0.76,0.51,15.6,120.8,0.345
Add. H.I. Jump,5000,1,sklearn_optimal,0.63,0.26,11.0,244.4,0.146
Add. H.I. Jump,5000,1,sklearn_unlimited,0.62,0.24,26.3,609.9,0.18
Add. H.I. Jump,5000,d,sklearn_optimal,0.82,0.65,5.0,27.8,3.124
Add. H.I. Jump,5000,d,sklearn_unlimited,0.82,0.64,22.6,163.2,8.477
Add. H.I. Jump,5000,sqrt,sklearn_optimal,0.78,0.57,7.0,74.6,0.515
Add. H.I. Jump,5000,sqrt,sklearn_unlimited,0.78,0.56,20.1,283.8,0.908
Add. H.I. Jump,10000,1,sklearn_optimal,0.64,0.27,13.0,514.0,0.309
Add. H.I. Jump,10000,1,sklearn_unlimited,0.63,0.26,30.6,1208.6,0.493
Add. H.I. Jump,10000,d,sklearn_optimal,0.83,0.66,5.0,30.7,7.384
Add. H.I. Jump,10000,d,sklearn_unlimited,0.83,0.65,30.2,313.3,22.982
Add. H.I. Jump,10000,sqrt,sklearn_optimal,0.8,0.6,8.0,132.1,1.142
Add. H.I. Jump,10000,sqrt,sklearn_unlimited,0.8,0.61,24.3,545.0,2.083
Add. H.I. Jump,20000,1,sklearn_optimal,0.65,0.29,14.0,962.1,0.597
Add. H.I. Jump,20000,1,sklearn_unlimited,0.64,0.28,35.5,2401.1,0.784
Add. H.I. Jump,20000,d,sklearn_optimal,0.83,0.67,6.0,58.5,19.168
Add. H.I. Jump,20000,d,sklearn_unlimited,0.83,0.66,39.5,607.9,58.974
Add. H.I. Jump,20000,sqrt,sklearn_optimal,0.81,0.62,8.5,203.2,2.613
Add. H.I. Jump,20000,sqrt,sklearn_unlimited,0.81,0.62,28.8,1056.8,5.143
Add. H.I. Jump,50000,1,sklearn_optimal,0.66,0.31,16.5,2545.2,1.629
Add. H.I. Jump,50000,1,sklearn_unlimited,0.65,0.3,42.0,5959.3,2.047
Add. H.I. Jump,50000,d,sklearn_optimal,0.84,0.67,8.0,187.0,69.848
Add. H.I. Jump,50000,d,sklearn_unlimited,0.83,0.66,48.0,1474.2,183.443
Add. H.I. Jump,50000,sqrt,sklearn_optimal,0.82,0.64,10.0,477.0,7.916
Add. H.I. Jump,50000,sqrt,sklearn_unlimited,0.82,0.64,35.3,2554.3,13.389
Add. H.I. Jump,2000,1,sklearn_unlimited_vs_optimal_ratio,1.0,1.04,2.3,2.4,1.192
Add. H.I. Jump,2000,d,sklearn_unlimited_vs_optimal_ratio,0.99,0.98,4.1,4.7,2.304
Add. H.I. Jump,2000,sqrt,sklearn_unlimited_vs_optimal_ratio,1.01,1.04,2.6,3.2,1.737
Add. H.I. Jump,5000,1,sklearn_unlimited_vs_optimal_ratio,0.99,0.92,2.4,2.5,1.231
Add. H.I. Jump,5000,d,sklearn_unlimited_vs_optimal_ratio,1.0,1.0,4.5,5.9,2.713
Add. H.I. Jump,5000,sqrt,sklearn_unlimited_vs_optimal_ratio,1.0,0.99,2.9,3.8,1.763
Add. H.I. Jump,10000,1,sklearn_unlimited_vs_optimal_ratio,0.99,0.95,2.4,2.4,1.597
Add. H.I. Jump,10000,d,sklearn_unlimited_vs_optimal_ratio,1.0,0.99,6.0,10.2,3.112
Add. H.I. Jump,10000,sqrt,sklearn_unlimited_vs_optimal_ratio,1.01,1.01,3.0,4.1,1.824
Add. H.I. Jump,20000,1,sklearn_unlimited_vs_optimal_ratio,0.99,0.95,2.5,2.5,1.314
Add. H.I. Jump,20000,d,sklearn_unlimited_vs_optimal_ratio,0.99,0.99,6.6,10.4,3.077
Add. H.I. Jump,20000,sqrt,sklearn_unlimited_vs_optimal_ratio,1.0,1.0,3.4,5.2,1.968
Add. H.I. Jump,50000,1,sklearn_unlimited_vs_optimal_ratio,0.99,0.96,2.5,2.3,1.256
Add. H.I. Jump,50000,d,sklearn_unlimited_vs_optimal_ratio,0.99,0.99,6.0,7.9,2.626
Add. H.I. Jump,50000,sqrt,sklearn_unlimited_vs_optimal_ratio,1.0,1.0,3.5,5.4,1.691
