dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,IGES,0.63,0.27,15.0,130.0,2.047
Add. H.I. Jump,IGES_1,0.58,0.14,20.0,231.0,0.647
Add. H.I. Jump,IGES_d,0.73,0.47,9.5,60.0,10.916
Add. H.I. Jump,ILES,0.66,0.32,6.5,48.0,1.779
Add. H.I. Jump,ILES_1,0.58,0.14,10.0,113.5,0.342
Add. H.I. Jump,ILES_d,0.78,0.54,4.0,15.0,8.654
Add. H.I. Jump,MD_scikit,0.67,0.34,15.0,125.5,0.005
Add. H.I. Jump,MD_scikit_1,0.57,0.12,20.0,228.0,0.003
Add. H.I. Jump,MD_scikit_d,0.72,0.44,15.5,79.0,0.022
Add. H.I. Jump,UGES,0.68,0.35,8.0,73.5,0.045
Add. H.I. Jump,UGES_1,0.58,0.13,14.0,204.0,0.055
Add. H.I. Jump,UGES_d,0.78,0.55,5.0,25.0,0.063
Add. Het.,IGES,0.65,0.33,15.5,126.0,2.368
Add. Het.,IGES_1,0.55,0.11,22.0,239.5,0.667
Add. Het.,IGES_d,0.76,0.54,11.5,65.0,11.221
Add. Het.,ILES,0.65,0.34,7.5,63.5,2.042
Add. Het.,ILES_1,0.56,0.15,11.5,141.0,0.389
Add. Het.,ILES_d,0.78,0.57,4.5,21.0,10.055
Add. Het.,MD_scikit,0.65,0.32,14.0,120.5,0.006
Add. Het.,MD_scikit_1,0.57,0.16,21.5,227.5,0.003
Add. Het.,MD_scikit_d,0.75,0.51,12.5,71.5,0.021
Add. Het.,UGES,0.65,0.31,11.0,104.0,0.065
Add. Het.,UGES_1,0.57,0.16,21.0,219.0,0.225
Add. Het.,UGES_d,0.77,0.54,6.0,37.5,0.088
Add. Jump,IGES,0.74,0.53,13.0,95.5,1.989
Add. Jump,IGES_1,0.62,0.28,17.0,199.0,0.579
Add. Jump,IGES_d,0.86,0.73,5.5,26.0,9.926
Add. Jump,ILES,0.75,0.53,6.5,48.5,1.991
Add. Jump,ILES_1,0.64,0.31,9.5,128.5,0.429
Add. Jump,ILES_d,0.88,0.75,3.0,7.0,8.951
Add. Jump,MD_scikit,0.73,0.51,13.0,95.0,0.007
Add. Jump,MD_scikit_1,0.6,0.25,18.5,206.0,0.004
Add. Jump,MD_scikit_d,0.85,0.69,11.5,48.5,0.025
Add. Jump,UGES,0.77,0.54,8.0,68.0,0.05
Add. Jump,UGES_1,0.6,0.27,18.0,199.0,0.233
Add. Jump,UGES_d,0.88,0.74,3.0,8.0,0.043
Add. Smooth,IGES,0.62,0.26,12.5,113.0,3.305
Add. Smooth,IGES_1,0.55,0.1,20.0,235.5,0.681
Add. Smooth,IGES_d,0.67,0.37,6.0,43.0,10.192
Add. Smooth,ILES,0.62,0.26,6.0,30.0,1.884
Add. Smooth,ILES_1,0.56,0.12,8.0,70.5,0.357
Add. Smooth,ILES_d,0.7,0.42,3.0,8.0,8.647
Add. Smooth,MD_scikit,0.6,0.21,16.5,143.5,0.006
Add. Smooth,MD_scikit_1,0.56,0.1,21.5,245.5,0.003
Add. Smooth,MD_scikit_d,0.66,0.33,13.0,92.5,0.022
Add. Smooth,UGES,0.64,0.28,7.0,46.5,0.065
