dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,CCP,0.81,0.62,3.0,6.0,5.93
Add. H.I. Jump,CCP_Oracle,0.81,0.63,4.0,8.0,0.0
Add. H.I. Jump,ES,0.8,0.59,5.0,23.0,0.013
Add. H.I. Jump,ES_Interp,0.8,0.61,4.0,23.0,0.013
Add. H.I. Jump,ES_Oracle,0.8,0.62,3.0,8.0,0.0
Add. H.I. Jump,MD,0.74,0.48,16.0,111.0,0.023
Add. H.I. Jump,TS,0.8,0.62,3.0,6.0,1.596
Add. Het.,CCP,0.82,0.63,5.0,10.0,5.137
Add. Het.,CCP_Oracle,0.83,0.66,6.0,12.0,0.0
Add. Het.,ES,0.8,0.61,5.0,28.0,0.015
Add. Het.,ES_Interp,0.81,0.62,4.5,28.0,0.015
Add. Het.,ES_Oracle,0.82,0.63,4.0,16.0,0.0
Add. Het.,MD,0.77,0.54,13.0,96.0,0.022
Add. Het.,TS,0.82,0.63,5.0,9.0,2.234
Add. Jump,CCP,0.88,0.76,3.0,4.0,3.024
Add. Jump,CCP_Oracle,0.89,0.78,3.0,4.0,0.0
Add. Jump,ES,0.88,0.76,3.0,8.0,0.009
Add. Jump,ES_Interp,0.88,0.76,2.6,8.0,0.009
Add. Jump,ES_Oracle,0.89,0.77,2.0,4.0,0.0
Add. Jump,MD,0.86,0.71,12.0,67.0,0.021
Add. Jump,TS,0.88,0.77,3.0,4.0,0.549
Add. Smooth,CCP,0.7,0.42,4.0,8.0,7.798
Add. Smooth,CCP_Oracle,0.72,0.45,4.0,6.0,0.0
Add. Smooth,ES,0.71,0.42,4.0,15.0,0.011
Add. Smooth,ES_Interp,0.71,0.42,3.1,15.0,0.011
Add. Smooth,ES_Oracle,0.71,0.44,3.0,8.0,0.0
Add. Smooth,MD,0.67,0.34,15.0,132.0,0.024
Add. Smooth,TS,0.7,0.41,4.0,6.0,1.188
Circular,CCP,0.77,0.43,4.0,5.0,1.406
Circular,CCP_Oracle,0.77,0.44,5.0,7.0,0.0
Circular,ES,0.76,0.41,4.0,16.0,0.001
Circular,ES_Interp,0.76,0.41,3.9,16.0,0.001
Circular,ES_Oracle,0.76,0.42,4.0,16.0,0.0
Circular,MD,0.67,0.24,23.0,266.0,0.002
Circular,TS,0.77,0.42,4.0,5.0,0.168
Circular Smooth,CCP,0.78,0.46,6.0,7.0,1.219
Circular Smooth,CCP_Oracle,0.78,0.47,5.0,8.0,0.0
Circular Smooth,ES,0.78,0.45,5.0,20.0,0.001
Circular Smooth,ES_Interp,0.78,0.46,4.1,20.0,0.001
Circular Smooth,ES_Oracle,0.78,0.46,4.0,15.0,0.0
Circular Smooth,MD,0.71,0.31,20.0,229.0,0.002
Circular Smooth,TS,0.78,0.46,5.0,6.0,0.183
Rectangular,CCP,0.79,0.39,4.0,5.0,1.331
Rectangular,CCP_Oracle,0.79,0.4,4.0,6.0,0.0
Rectangular,ES,0.78,0.37,4.0,14.0,0.001
Rectangular,ES_Interp,0.78,0.37,3.4,14.0,0.001
Rectangular,ES_Oracle,0.78,0.37,4.0,15.0,0.0
Rectangular,MD,0.67,0.17,23.0,261.0,0.002
Rectangular,TS,0.79,0.39,4.0,5.0,0.148
Sine Cosine,CCP,0.6,0.21,8.0,17.0,2.272
Sine Cosine,CCP_Oracle,0.62,0.24,9.0,18.0,0.0
Sine Cosine,ES,0.58,0.18,5.0,20.0,0.002
Sine Cosine,ES_Interp,0.57,0.14,4.3,20.0,0.002
Sine Cosine,ES_Oracle,0.61,0.22,7.0,41.0,0.0
Sine Cosine,MD,0.55,0.11,25.0,337.0,0.003
Sine Cosine,TS,0.61,0.21,6.0,12.0,0.218
