dataset,algorithm_name,test_acc (mean),mcc_test (mean),mean_depth (mean),mean_n_leaves (mean)
Banknote,UGES,0.99,0.98,5.4,18.6
Banknote,UGES_d,0.99,0.97,5.0,17.2
Banknote,UGES_1,0.99,0.98,7.2,29.9
Banknote,IGES,0.99,0.98,8.2,26.4
Banknote,IGES_d,0.99,0.98,7.1,22.1
Banknote,IGES_1,0.99,0.98,11.3,43.4
Banknote,ILES,0.99,0.98,8.2,26.4
Banknote,ILES_d,0.99,0.98,7.1,22.1
Banknote,ILES_1,0.99,0.98,11.3,43.4
Banknote,MD_scikit,0.99,0.99,8.3,26.5
Banknote,MD_scikit_d,0.99,0.98,7.1,22.1
Banknote,MD_scikit_1,0.99,0.99,11.3,43.8
Pima Indians,UGES,0.76,0.43,2.8,7.2
Pima Indians,UGES_d,0.75,0.41,2.1,4.5
Pima Indians,UGES_1,0.74,0.39,3.6,12.1
Pima Indians,IGES,0.75,0.43,5.6,34.4
Pima Indians,IGES_d,0.76,0.44,3.7,13.6
Pima Indians,IGES_1,0.74,0.39,7.8,63.6
Pima Indians,ILES,0.74,0.39,3.5,11.9
Pima Indians,ILES_d,0.75,0.41,2.4,5.7
Pima Indians,ILES_1,0.72,0.33,4.3,18.5
Pima Indians,MD_scikit,0.76,0.46,15.2,118.8
Pima Indians,MD_scikit_d,0.76,0.46,13.4,84.8
Pima Indians,MD_scikit_1,0.76,0.44,16.7,150.6
Haberman,UGES,0.73,0.11,3.2,8.8
Haberman,UGES_d,0.73,0.2,2.6,6.4
Haberman,UGES_1,0.73,0.11,3.2,8.8
Haberman,IGES,0.72,0.18,8.3,34.7
Haberman,IGES_d,0.71,0.16,6.6,29.4
Haberman,IGES_1,0.72,0.18,8.3,34.7
Haberman,ILES,0.73,0.15,3.3,9.0
Haberman,ILES_d,0.74,0.23,2.4,5.9
Haberman,ILES_1,0.73,0.15,3.3,9.0
Haberman,MD_scikit,0.69,0.14,13.2,71.1
Haberman,MD_scikit_d,0.68,0.12,12.7,57.6
Haberman,MD_scikit_1,0.69,0.14,13.2,71.1
Ozone,UGES,0.94,0.05,3.7,12.2
Ozone,UGES_d,0.94,0.05,3.1,8.3
Ozone,UGES_1,0.94,0.01,5.5,28.7
Ozone,IGES,0.94,0.24,7.0,45.9
Ozone,IGES_d,0.94,0.26,6.3,32.2
Ozone,IGES_1,0.94,0.13,10.7,103.8
Ozone,ILES,0.94,0.08,4.0,14.5
Ozone,ILES_d,0.94,0.08,3.3,9.9
Ozone,ILES_1,0.94,0.04,5.9,34.6
Ozone,MD_scikit,0.94,0.33,14.4,91.1
Ozone,MD_scikit_d,0.94,0.34,14.4,69.9
Ozone,MD_scikit_1,0.94,0.17,18.4,160.3
Spam,UGES,0.91,0.82,3.7,12.8
Spam,UGES_d,0.91,0.81,3.0,8.0
Spam,UGES_1,0.91,0.81,8.7,75.5
Spam,IGES,0.91,0.8,6.5,49.7
Spam,IGES_d,0.92,0.82,4.0,14.1
Spam,IGES_1,0.88,0.74,20.0,106.9
Spam,ILES,0.9,0.78,5.8,36.8
Spam,ILES_d,0.91,0.82,3.6,11.7
Spam,ILES_1,0.85,0.68,9.8,62.9
Spam,MD_scikit,0.95,0.9,32.6,321.8
Spam,MD_scikit_d,0.95,0.89,29.3,191.1
Spam,MD_scikit_1,0.95,0.91,50.3,560.3
Wisc. Breast Cancer,UGES,0.97,0.94,3.1,8.2
Wisc. Breast Cancer,UGES_d,0.96,0.92,3.0,7.4
Wisc. Breast Cancer,UGES_1,0.97,0.94,3.8,12.1
Wisc. Breast Cancer,IGES,0.97,0.93,6.7,21.6
Wisc. Breast Cancer,IGES_d,0.96,0.92,6.0,16.8
Wisc. Breast Cancer,IGES_1,0.96,0.91,8.5,28.3
Wisc. Breast Cancer,ILES,0.96,0.92,3.8,11.6
Wisc. Breast Cancer,ILES_d,0.96,0.92,3.3,8.7
Wisc. Breast Cancer,ILES_1,0.95,0.9,4.8,16.9
Wisc. Breast Cancer,MD_scikit,0.97,0.93,8.7,26.5
Wisc. Breast Cancer,MD_scikit_d,0.96,0.92,7.6,20.3
Wisc. Breast Cancer,MD_scikit_1,0.97,0.94,10.2,38.3
