dataset,method,test_acc_mean,test_acc_median,test_mcc_mean,test_mcc_median,depth_mean,depth_median,n_leaves_mean,n_leaves_median,fit_time_mean,fit_time_median
Banknote,CCP,0.98,0.99,0.97,0.97,7.0,7.0,21.2,21.0,0.341,0.313
Banknote,ES,0.98,0.99,0.97,0.97,7.2,7.0,26.3,26.0,0.008,0.007
Banknote,ES_Interp,0.98,0.99,0.97,0.97,7.2,7.0,26.3,26.0,0.008,0.007
Banknote,MD,0.98,0.99,0.97,0.97,7.2,7.0,26.3,26.0,0.004,0.004
Banknote,TS,0.98,0.99,0.97,0.97,7.0,7.0,21.1,21.0,0.335,0.31
Haberman,CCP,0.72,0.74,0.21,0.22,2.7,2.0,4.7,3.0,0.414,0.36
Haberman,ES,0.74,0.74,0.26,0.27,3.3,3.0,9.1,7.0,0.003,0.002
Haberman,ES_Interp,0.73,0.74,0.25,0.26,2.6,2.6,9.1,7.0,0.003,0.002
Haberman,MD,0.65,0.65,0.11,0.11,15.5,15.0,90.9,91.0,0.002,0.001
Haberman,TS,0.73,0.74,0.23,0.24,2.9,3.0,5.9,4.0,0.095,0.084
Ozone,CCP,0.93,0.93,0.08,0.0,2.7,2.0,4.6,3.0,22.768,22.427
Ozone,ES,0.93,0.93,0.21,0.21,4.1,4.0,14.7,14.0,0.097,0.083
Ozone,ES_Interp,0.93,0.93,0.16,0.17,3.4,3.3,14.7,14.0,0.097,0.083
Ozone,MD,0.91,0.91,0.25,0.26,14.9,15.0,98.1,98.0,0.114,0.097
Ozone,TS,0.93,0.94,0.08,0.0,2.5,2.0,4.3,3.0,4.697,4.493
Pima Indians,CCP,0.74,0.74,0.42,0.42,4.4,4.0,8.9,7.0,1.65,1.561
Pima Indians,ES,0.74,0.74,0.41,0.41,2.8,3.0,7.2,8.0,0.006,0.005
Pima Indians,ES_Interp,0.74,0.74,0.41,0.41,2.1,2.1,7.2,8.0,0.006,0.005
Pima Indians,MD,0.7,0.7,0.35,0.35,14.7,14.0,121.7,121.0,0.005,0.004
Pima Indians,TS,0.74,0.74,0.41,0.41,2.9,3.0,5.6,5.0,0.196,0.18
Spam,CCP,0.92,0.92,0.84,0.84,17.1,17.0,80.4,76.0,52.001,51.607
Spam,ES,0.89,0.9,0.78,0.78,3.9,4.0,13.5,14.0,0.129,0.113
Spam,ES_Interp,0.88,0.88,0.75,0.75,3.1,3.1,13.5,14.0,0.129,0.113
Spam,MD,0.92,0.92,0.82,0.83,31.2,31.0,266.8,266.0,0.095,0.082
Spam,TS,0.91,0.91,0.8,0.8,4.9,5.0,20.2,20.0,2.858,2.909
Wisc. Breast Cancer,CCP,0.95,0.96,0.89,0.9,5.2,5.0,10.7,9.0,0.178,0.162
Wisc. Breast Cancer,ES,0.95,0.96,0.89,0.89,3.9,4.0,12.8,13.0,0.006,0.005
Wisc. Breast Cancer,ES_Interp,0.95,0.94,0.88,0.88,3.2,3.2,12.8,13.0,0.006,0.005
Wisc. Breast Cancer,MD,0.95,0.94,0.88,0.88,8.5,8.0,29.4,30.0,0.001,0.001
Wisc. Breast Cancer,TS,0.95,0.96,0.89,0.9,4.4,5.0,9.8,9.0,0.136,0.127
