dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,IGES,0.77,0.55,15.0,126.1,27.48
Add. H.I. Jump,IGES_1,0.66,0.31,20.1,234.8,7.358
Add. H.I. Jump,IGES_d,0.81,0.63,9.6,60.2,135.034
Add. H.I. Jump,ILES,0.76,0.52,6.6,49.5,19.876
Add. H.I. Jump,ILES_1,0.65,0.3,9.7,114.3,4.89
Add. H.I. Jump,ILES_d,0.82,0.64,4.0,15.2,103.344
Add. H.I. Jump,MD_scikit,0.79,0.58,15.2,126.5,0.105
Add. H.I. Jump,MD_scikit_1,0.68,0.35,20.2,233.2,0.053
Add. H.I. Jump,MD_scikit_d,0.81,0.62,14.9,79.7,0.429
Add. H.I. Jump,UGES,0.79,0.59,6.0,40.3,0.399
Add. H.I. Jump,UGES_1,0.68,0.36,9.0,103.7,0.433
Add. H.I. Jump,UGES_d,0.82,0.63,4.0,15.0,0.649
Add. Het.,IGES,0.8,0.6,15.1,120.2,26.491
Add. Het.,IGES_1,0.68,0.37,21.4,234.2,7.554
Add. Het.,IGES_d,0.83,0.67,11.5,67.3,138.537
Add. Het.,ILES,0.79,0.58,7.5,61.4,20.567
Add. Het.,ILES_1,0.68,0.36,11.8,139.9,5.372
Add. Het.,ILES_d,0.84,0.67,4.7,22.0,108.58
Add. Het.,MD_scikit,0.81,0.63,15.1,119.9,0.106
Add. Het.,MD_scikit_1,0.71,0.43,21.2,231.2,0.054
Add. Het.,MD_scikit_d,0.84,0.67,12.4,69.8,0.396
Add. Het.,UGES,0.81,0.63,7.0,51.6,0.496
Add. Het.,UGES_1,0.72,0.45,11.0,136.7,0.561
Add. Het.,UGES_d,0.84,0.67,5.0,25.1,0.91
Add. Jump,IGES,0.88,0.75,12.8,89.3,23.45
Add. Jump,IGES_1,0.77,0.51,17.8,198.3,6.548
Add. Jump,IGES_d,0.89,0.77,6.0,25.7,112.547
Add. Jump,ILES,0.87,0.73,6.3,44.4,19.266
Add. Jump,ILES_1,0.76,0.49,9.8,127.1,4.633
Add. Jump,ILES_d,0.89,0.78,2.7,6.6,88.559
Add. Jump,MD_scikit,0.89,0.77,13.0,88.4,0.096
Add. Jump,MD_scikit_1,0.8,0.58,17.6,193.7,0.05
Add. Jump,MD_scikit_d,0.89,0.77,11.3,46.3,0.375
Add. Jump,UGES,0.88,0.76,6.0,37.3,0.383
Add. Jump,UGES_1,0.8,0.57,9.0,111.6,0.457
Add. Jump,UGES_d,0.89,0.77,3.0,7.5,0.41
Add. Smooth,IGES,0.7,0.39,11.4,113.2,26.218
Add. Smooth,IGES_1,0.62,0.26,20.9,240.0,7.968
Add. Smooth,IGES_d,0.72,0.43,6.0,38.1,116.861
Add. Smooth,ILES,0.69,0.38,5.6,30.2,18.708
Add. Smooth,ILES_1,0.62,0.26,8.7,72.9,4.684
Add. Smooth,ILES_d,0.72,0.44,3.0,8.5,90.718
Add. Smooth,MD_scikit,0.7,0.4,16.0,136.6,0.109
Add. Smooth,MD_scikit_1,0.64,0.29,21.5,239.9,0.055
Add. Smooth,MD_scikit_d,0.71,0.42,14.1,93.2,0.42
Add. Smooth,UGES,0.7,0.4,5.0,23.5,0.316
Add. Smooth,UGES_1,0.66,0.32,8.0,64.2,0.363
Add. Smooth,UGES_d,0.72,0.44,3.0,8.0,0.423
Circular,IGES,0.78,0.45,7.5,67.5,4.774
Circular,IGES_1,0.78,0.45,7.5,67.5,4.751
Circular,IGES_d,0.78,0.44,6.6,50.0,8.579
Circular,ILES,0.77,0.44,4.9,23.8,3.614
Circular,ILES_1,0.77,0.44,4.9,23.8,3.391
Circular,ILES_d,0.78,0.44,4.1,15.1,6.515
Circular,MD_scikit,0.74,0.37,19.3,200.3,0.052
Circular,MD_scikit_1,0.74,0.37,19.3,200.3,0.05
Circular,MD_scikit_d,0.74,0.36,17.9,172.9,0.064
Circular,UGES,0.78,0.45,4.0,14.7,0.199
Circular,UGES_1,0.78,0.45,4.0,14.7,0.198
Circular,UGES_d,0.78,0.44,4.0,14.3,0.185
Circular Smooth,IGES,0.78,0.46,7.2,52.4,4.578
Circular Smooth,IGES_1,0.78,0.46,7.2,52.4,4.755
Circular Smooth,IGES_d,0.78,0.46,6.0,34.1,7.764
Circular Smooth,ILES,0.78,0.47,4.9,21.7,3.593
Circular Smooth,ILES_1,0.78,0.47,4.9,21.7,3.448
Circular Smooth,ILES_d,0.79,0.47,4.1,14.9,6.887
Circular Smooth,MD_scikit,0.77,0.41,18.5,173.3,0.05
Circular Smooth,MD_scikit_1,0.77,0.41,18.5,173.3,0.049
Circular Smooth,MD_scikit_d,0.76,0.4,17.1,148.5,0.061
Circular Smooth,UGES,0.79,0.47,4.0,13.8,0.17
Circular Smooth,UGES_1,0.79,0.47,4.0,13.8,0.171
Circular Smooth,UGES_d,0.79,0.47,4.0,13.8,0.182
Rectangular,IGES,0.79,0.39,6.7,50.6,4.563
Rectangular,IGES_1,0.79,0.39,6.7,50.6,4.378
Rectangular,IGES_d,0.79,0.4,5.2,29.0,7.919
Rectangular,ILES,0.79,0.38,4.5,19.0,3.271
Rectangular,ILES_1,0.79,0.38,4.5,19.0,3.326
Rectangular,ILES_d,0.79,0.39,3.9,13.7,6.175
Rectangular,MD_scikit,0.75,0.29,19.7,197.0,0.052
Rectangular,MD_scikit_1,0.75,0.29,19.7,197.0,0.05
Rectangular,MD_scikit_d,0.75,0.27,18.5,170.0,0.065
Rectangular,UGES,0.79,0.38,4.0,14.3,0.168
Rectangular,UGES_1,0.79,0.38,4.0,14.3,0.168
Rectangular,UGES_d,0.79,0.39,4.0,14.0,0.179
Sine Cosine,IGES,0.62,0.23,8.4,61.8,5.583
Sine Cosine,IGES_1,0.62,0.23,8.4,61.8,5.16
Sine Cosine,IGES_d,0.62,0.24,7.1,45.2,9.29
Sine Cosine,ILES,0.59,0.18,5.1,19.3,3.569
Sine Cosine,ILES_1,0.59,0.18,5.1,19.3,3.496
Sine Cosine,ILES_d,0.61,0.22,4.4,15.2,6.612
Sine Cosine,MD_scikit,0.58,0.17,23.8,257.0,0.056
Sine Cosine,MD_scikit_1,0.58,0.17,23.8,257.0,0.054
Sine Cosine,MD_scikit_d,0.58,0.17,21.4,220.9,0.07
Sine Cosine,UGES,0.6,0.2,5.0,18.7,0.2
Sine Cosine,UGES_1,0.6,0.2,5.0,18.7,0.202
Sine Cosine,UGES_d,0.61,0.23,4.0,13.2,0.18
