dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,IGES,0.78,0.57,14.9,127.0,49.763
Add. H.I. Jump,IGES_1,0.67,0.33,20.3,235.6,14.214
Add. H.I. Jump,IGES_d,0.81,0.63,9.3,58.4,261.004
Add. H.I. Jump,ILES,0.77,0.54,6.7,50.8,40.367
Add. H.I. Jump,ILES_1,0.66,0.32,9.8,114.9,9.789
Add. H.I. Jump,ILES_d,0.81,0.63,3.9,14.8,200.225
Add. H.I. Jump,MD_scikit,0.8,0.61,15.1,126.6,0.221
Add. H.I. Jump,MD_scikit_1,0.7,0.39,20.3,233.2,0.099
Add. H.I. Jump,MD_scikit_d,0.81,0.62,14.9,79.1,1.005
Add. H.I. Jump,UGES,0.8,0.61,6.0,40.0,0.754
Add. H.I. Jump,UGES_1,0.7,0.39,9.0,103.6,0.762
Add. H.I. Jump,UGES_d,0.81,0.63,4.0,15.0,1.386
Add. Het.,IGES,0.81,0.62,15.2,120.8,50.417
Add. Het.,IGES_1,0.7,0.39,21.3,234.9,14.853
Add. Het.,IGES_d,0.84,0.67,11.5,67.5,270.112
Add. Het.,ILES,0.8,0.59,7.6,61.0,42.566
Add. Het.,ILES_1,0.69,0.38,11.7,141.6,10.63
Add. Het.,ILES_d,0.83,0.67,4.7,22.0,211.548
Add. Het.,MD_scikit,0.82,0.65,15.1,120.0,0.224
Add. Het.,MD_scikit_1,0.74,0.48,21.1,230.9,0.102
Add. Het.,MD_scikit_d,0.84,0.67,12.5,70.1,0.92
Add. Het.,UGES,0.82,0.64,7.0,52.0,0.942
Add. Het.,UGES_1,0.74,0.49,11.0,132.4,0.945
Add. Het.,UGES_d,0.84,0.67,5.0,25.2,1.982
Add. Jump,IGES,0.88,0.75,12.8,89.5,45.997
Add. Jump,IGES_1,0.78,0.53,17.9,199.4,12.685
Add. Jump,IGES_d,0.89,0.77,5.7,23.4,226.769
Add. Jump,ILES,0.87,0.73,6.5,46.1,39.307
Add. Jump,ILES_1,0.76,0.49,9.8,126.8,9.527
Add. Jump,ILES_d,0.89,0.77,2.7,6.4,180.605
Add. Jump,MD_scikit,0.89,0.77,13.0,87.8,0.196
Add. Jump,MD_scikit_1,0.81,0.59,17.8,193.1,0.092
Add. Jump,MD_scikit_d,0.89,0.77,11.2,46.4,0.854
Add. Jump,UGES,0.88,0.76,6.0,37.1,0.727
Add. Jump,UGES_1,0.8,0.58,9.0,109.2,0.737
Add. Jump,UGES_d,0.89,0.77,3.0,7.5,0.869
Add. Smooth,IGES,0.7,0.41,11.4,109.5,49.385
Add. Smooth,IGES_1,0.64,0.29,20.9,238.7,15.015
Add. Smooth,IGES_d,0.72,0.45,5.8,36.7,232.261
Add. Smooth,ILES,0.69,0.39,5.6,30.4,37.996
Add. Smooth,ILES_1,0.64,0.29,8.6,72.0,9.369
Add. Smooth,ILES_d,0.72,0.44,3.0,8.2,184.463
Add. Smooth,MD_scikit,0.71,0.42,16.0,136.3,0.228
Add. Smooth,MD_scikit_1,0.66,0.33,21.5,240.1,0.103
Add. Smooth,MD_scikit_d,0.72,0.43,14.0,92.8,0.972
Add. Smooth,UGES,0.71,0.41,5.0,23.6,0.58
Add. Smooth,UGES_1,0.67,0.34,8.0,64.8,0.614
Add. Smooth,UGES_d,0.72,0.45,3.0,8.0,0.874
Circular,IGES,0.75,0.33,6.8,51.9,9.063
Circular,IGES_1,0.75,0.33,6.8,51.9,8.939
Circular,IGES_d,0.75,0.33,5.8,36.7,16.201
Circular,ILES,0.74,0.29,4.2,16.5,6.877
Circular,ILES_1,0.74,0.29,4.2,16.5,6.814
Circular,ILES_d,0.75,0.33,3.8,12.7,13.261
Circular,MD_scikit,0.71,0.24,20.4,210.9,0.095
Circular,MD_scikit_1,0.71,0.24,20.4,210.9,0.093
Circular,MD_scikit_d,0.71,0.23,18.8,182.1,0.125
Circular,UGES,0.74,0.27,4.0,14.1,0.271
Circular,UGES_1,0.74,0.27,4.0,14.1,0.269
Circular,UGES_d,0.75,0.3,4.0,13.9,0.299
Circular Smooth,IGES,0.79,0.47,7.1,51.7,9.062
Circular Smooth,IGES_1,0.79,0.47,7.1,51.7,9.024
Circular Smooth,IGES_d,0.79,0.47,6.0,35.1,16.074
Circular Smooth,ILES,0.78,0.47,4.9,21.9,7.296
Circular Smooth,ILES_1,0.78,0.47,4.9,21.9,7.207
Circular Smooth,ILES_d,0.79,0.47,4.2,15.0,13.682
Circular Smooth,MD_scikit,0.77,0.41,18.6,173.7,0.091
Circular Smooth,MD_scikit_1,0.77,0.41,18.6,173.7,0.088
Circular Smooth,MD_scikit_d,0.76,0.4,17.1,149.1,0.116
Circular Smooth,UGES,0.79,0.47,4.0,13.8,0.28
