dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,IGES,0.73,0.46,15.6,120.1,79.469
Add. H.I. Jump,IGES_1,0.59,0.17,21.2,247.5,14.606
Add. H.I. Jump,IGES_d,0.81,0.62,11.1,56.4,688.837
Add. H.I. Jump,ILES,0.71,0.42,6.8,51.4,61.057
Add. H.I. Jump,ILES_1,0.59,0.17,10.4,124.8,8.051
Add. H.I. Jump,ILES_d,0.81,0.63,3.9,14.1,468.08
Add. H.I. Jump,MD_scikit,0.76,0.52,15.5,119.2,0.384
Add. H.I. Jump,MD_scikit_1,0.61,0.21,21.2,246.3,0.106
Add. H.I. Jump,MD_scikit_d,0.81,0.61,16.7,69.5,3.441
Add. H.I. Jump,UGES,0.76,0.52,6.0,40.6,1.277
Add. H.I. Jump,UGES_1,0.61,0.22,10.0,122.1,0.871
Add. H.I. Jump,UGES_d,0.81,0.63,4.0,14.9,3.892
Add. Het.,IGES,0.77,0.54,15.9,116.1,81.388
Add. Het.,IGES_1,0.57,0.15,22.4,250.9,15.503
Add. Het.,IGES_d,0.83,0.66,12.8,60.1,708.186
Add. Het.,ILES,0.75,0.52,8.0,62.6,65.687
Add. Het.,ILES_1,0.57,0.15,12.7,155.6,8.899
Add. Het.,ILES_d,0.83,0.66,4.5,19.1,497.017
Add. Het.,MD_scikit,0.79,0.58,15.8,114.9,0.398
Add. Het.,MD_scikit_1,0.61,0.22,22.3,248.3,0.108
Add. Het.,MD_scikit_d,0.83,0.66,13.5,61.2,3.149
Add. Het.,UGES,0.79,0.59,8.0,60.8,1.748
Add. Het.,UGES_1,0.61,0.23,13.0,162.2,1.165
Add. Het.,UGES_d,0.83,0.66,4.0,15.3,4.073
Add. Jump,IGES,0.86,0.7,13.5,91.8,72.492
Add. Jump,IGES_1,0.71,0.38,18.4,217.3,12.506
Add. Jump,IGES_d,0.89,0.77,5.8,22.0,554.291
Add. Jump,ILES,0.84,0.66,6.8,50.7,59.477
Add. Jump,ILES_1,0.7,0.36,10.3,143.0,7.749
Add. Jump,ILES_d,0.89,0.77,2.6,6.2,399.081
Add. Jump,MD_scikit,0.87,0.73,13.6,89.7,0.347
Add. Jump,MD_scikit_1,0.73,0.44,18.4,212.6,0.099
Add. Jump,MD_scikit_d,0.88,0.76,11.1,40.4,2.906
Add. Jump,UGES,0.86,0.71,6.0,38.9,1.145
Add. Jump,UGES_1,0.73,0.43,10.0,137.5,0.876
Add. Jump,UGES_d,0.89,0.77,3.0,7.4,2.417
Add. Smooth,IGES,0.68,0.36,14.0,116.6,79.743
Add. Smooth,IGES_1,0.55,0.11,22.3,252.4,15.641
Add. Smooth,IGES_d,0.71,0.43,5.9,34.9,554.227
Add. Smooth,ILES,0.68,0.35,5.8,31.6,57.107
Add. Smooth,ILES_1,0.55,0.09,9.1,80.2,7.559
Add. Smooth,ILES_d,0.71,0.43,3.0,7.9,420.087
Add. Smooth,MD_scikit,0.69,0.38,16.1,124.0,0.396
Add. Smooth,MD_scikit_1,0.58,0.15,22.4,251.0,0.109
Add. Smooth,MD_scikit_d,0.71,0.42,13.8,77.9,3.107
Add. Smooth,UGES,0.69,0.39,5.0,23.2,0.877
Add. Smooth,UGES_1,0.58,0.17,9.0,80.1,0.739
Add. Smooth,UGES_d,0.71,0.44,3.0,8.0,2.422
Circular,IGES,0.68,0.07,15.1,111.0,85.277
Circular,IGES_1,0.68,0.01,19.9,219.4,14.536
Circular,IGES_d,0.78,0.44,6.6,34.6,576.072
Circular,ILES,0.68,0.0,5.5,24.7,55.586
Circular,ILES_1,0.68,0.0,7.7,51.9,6.874
Circular,ILES_d,0.77,0.45,3.9,12.9,470.738
Circular,MD_scikit,0.68,0.08,18.2,122.1,0.442
Circular,MD_scikit_1,0.68,0.01,22.5,231.4,0.109
Circular,MD_scikit_d,0.76,0.42,17.2,82.7,3.817
Circular,UGES,0.68,0.0,5.0,21.1,0.895
Circular,UGES_1,0.68,0.0,7.0,45.7,0.591
Circular,UGES_d,0.77,0.44,4.0,13.5,3.915
Circular Smooth,IGES,0.71,0.11,16.9,111.4,86.865
Circular Smooth,IGES_1,0.7,0.01,22.0,223.1,15.257
Circular Smooth,IGES_d,0.79,0.47,6.9,36.3,604.139
Circular Smooth,ILES,0.7,0.0,6.1,29.0,58.742
Circular Smooth,ILES_1,0.7,0.0,8.5,63.9,7.268
Circular Smooth,ILES_d,0.78,0.48,4.0,12.5,476.007
Circular Smooth,MD_scikit,0.71,0.12,18.2,115.7,0.434
Circular Smooth,MD_scikit_1,0.7,0.01,22.5,224.4,0.109
Circular Smooth,MD_scikit_d,0.78,0.45,16.3,75.0,3.614
Circular Smooth,UGES,0.7,0.0,6.0,29.1,1.159
Circular Smooth,UGES_1,0.7,0.0,8.0,59.8,0.662
Circular Smooth,UGES_d,0.79,0.47,4.0,12.7,3.942
Rectangular,IGES,0.73,0.0,12.4,85.7,83.405
Rectangular,IGES_1,0.73,0.0,15.1,167.0,12.387
Rectangular,IGES_d,0.75,0.22,9.8,45.3,708.249
Rectangular,ILES,0.73,0.0,4.6,16.1,51.396
Rectangular,ILES_1,0.73,0.0,6.4,33.1,6.224
Rectangular,ILES_d,0.74,0.0,3.7,10.5,465.213
Rectangular,MD_scikit,0.73,0.01,19.8,116.0,0.484
Rectangular,MD_scikit_1,0.73,0.0,22.1,215.4,0.109
Rectangular,MD_scikit_d,0.75,0.16,21.6,84.9,4.764
Rectangular,UGES,0.73,0.0,5.0,18.7,0.859
Rectangular,UGES_1,0.73,0.0,6.0,30.6,0.477
Rectangular,UGES_d,0.74,0.0,4.0,11.8,3.926
Sine Cosine,IGES,0.5,0.0,8.9,72.7,71.542
Sine Cosine,IGES_1,0.5,0.01,11.7,134.9,10.712
