dataset,method,test_acc_median,test_mcc_median,depth_median,n_leaves_median,fit_time_median
Add. H.I. Jump,IGES,0.63,0.27,15.0,126.5,2.205
Add. H.I. Jump,IGES_1,0.57,0.15,20.0,228.0,0.522
Add. H.I. Jump,IGES_d,0.72,0.43,10.5,67.0,10.541
Add. H.I. Jump,MD_scikit,0.67,0.33,14.8,124.2,0.006
Add. H.I. Jump,MD_scikit_1,0.57,0.12,20.0,230.2,0.003
Add. H.I. Jump,MD_scikit_d,0.72,0.44,15.2,78.5,0.023
Add. H.I. Jump,UGES,0.67,0.34,8.0,73.5,0.055
Add. H.I. Jump,UGES_1,0.58,0.13,14.5,206.8,0.07
Add. H.I. Jump,UGES_d,0.77,0.54,5.0,24.8,0.073
Add. Het.,IGES,0.65,0.33,15.8,127.0,2.127
Add. Het.,IGES_1,0.55,0.12,22.5,240.0,0.979
Add. Het.,IGES_d,0.76,0.54,12.0,67.5,10.821
Add. Het.,MD_scikit,0.65,0.32,14.5,118.5,0.009
Add. Het.,MD_scikit_1,0.57,0.16,21.2,225.0,0.003
Add. Het.,MD_scikit_d,0.75,0.51,12.8,71.8,0.023
Add. Het.,UGES,0.65,0.32,10.5,102.0,0.076
Add. Het.,UGES_1,0.57,0.16,21.2,220.0,0.209
Add. Het.,UGES_d,0.77,0.53,6.0,37.8,0.089
Add. Jump,IGES,0.74,0.53,13.2,93.5,1.791
Add. Jump,IGES_1,0.62,0.31,16.8,199.0,0.515
Add. Jump,IGES_d,0.84,0.7,8.0,38.0,12.792
Add. Jump,MD_scikit,0.73,0.5,13.2,96.0,0.006
Add. Jump,MD_scikit_1,0.6,0.25,18.2,202.5,0.003
Add. Jump,MD_scikit_d,0.85,0.69,11.8,49.2,0.021
Add. Jump,UGES,0.77,0.54,8.5,68.2,0.043
Add. Jump,UGES_1,0.61,0.28,17.8,198.8,0.214
Add. Jump,UGES_d,0.88,0.75,3.0,8.0,0.037
Add. Smooth,IGES,0.61,0.24,13.5,127.8,2.814
Add. Smooth,IGES_1,0.55,0.1,20.0,237.0,0.603
Add. Smooth,IGES_d,0.67,0.35,9.0,76.0,10.625
Add. Smooth,MD_scikit,0.59,0.21,16.8,143.8,0.007
Add. Smooth,MD_scikit_1,0.55,0.1,21.8,245.5,0.003
Add. Smooth,MD_scikit_d,0.66,0.33,13.2,93.8,0.021
Add. Smooth,UGES,0.64,0.27,7.0,47.8,0.03
Add. Smooth,UGES_1,0.55,0.09,10.5,137.5,0.039
Add. Smooth,UGES_d,0.7,0.4,4.0,15.2,0.044
Circular,IGES,0.73,0.32,11.2,142.5,0.444
Circular,IGES_1,0.73,0.32,11.2,142.5,0.44
Circular,IGES_d,0.74,0.31,10.5,126.2,0.816
Circular,MD_scikit,0.73,0.29,19.5,200.2,0.003
Circular,MD_scikit_1,0.73,0.29,19.5,200.2,0.002
Circular,MD_scikit_d,0.72,0.28,17.5,170.2,0.003
Circular,UGES,0.73,0.34,6.0,36.5,0.015
Circular,UGES_1,0.73,0.34,6.0,36.5,0.019
Circular,UGES_d,0.75,0.38,5.0,22.8,0.014
Circular Smooth,IGES,0.75,0.34,11.8,132.5,0.443
Circular Smooth,IGES_1,0.75,0.34,11.8,132.5,0.438
Circular Smooth,IGES_d,0.74,0.32,10.5,115.0,0.77
Circular Smooth,MD_scikit,0.75,0.32,18.2,166.5,0.003
Circular Smooth,MD_scikit_1,0.75,0.32,18.2,166.5,0.002
Circular Smooth,MD_scikit_d,0.74,0.29,17.2,142.2,0.003
Circular Smooth,UGES,0.77,0.42,5.0,24.0,0.015
Circular Smooth,UGES_1,0.77,0.42,5.0,24.0,0.016
Circular Smooth,UGES_d,0.76,0.41,5.0,21.2,0.015
Rectangular,IGES,0.75,0.22,11.0,127.8,0.455
Rectangular,IGES_1,0.75,0.22,11.0,127.8,0.443
Rectangular,IGES_d,0.77,0.27,10.2,115.0,0.761
Rectangular,MD_scikit,0.73,0.19,20.0,189.2,0.003
Rectangular,MD_scikit_1,0.73,0.19,20.0,189.2,0.003
Rectangular,MD_scikit_d,0.74,0.19,19.2,163.5,0.003
Rectangular,UGES,0.76,0.29,5.0,23.0,0.014
Rectangular,UGES_1,0.76,0.29,5.0,23.0,0.014
Rectangular,UGES_d,0.77,0.33,4.0,14.2,0.015
Sine Cosine,IGES,0.56,0.14,14.0,191.2,0.543
Sine Cosine,IGES_1,0.56,0.14,14.0,191.2,0.479
Sine Cosine,IGES_d,0.56,0.13,13.5,163.5,0.951
Sine Cosine,MD_scikit,0.56,0.12,24.0,257.2,0.003
Sine Cosine,MD_scikit_1,0.56,0.12,24.0,257.2,0.003
Sine Cosine,MD_scikit_d,0.55,0.11,21.8,223.8,0.004
Sine Cosine,UGES,0.57,0.14,6.0,27.8,0.017
Sine Cosine,UGES_1,0.57,0.14,6.0,27.8,0.017
Sine Cosine,UGES_d,0.59,0.18,5.0,20.5,0.017
